id,newspaper,city,state,e2016,e2012,circulation,date,link,lat,lng,geocoded.city,combo,blurb
15,Akron Beacon Journal,Akron,Ohio,88040,9/24/2016,Hillary Clinton,Barack Obama,Akron Beacon Journal/Akron,41.0814447,-81.5190053,,Akron Beacon Journal/Akron,"The focus belongs on the breadth of her record and what Hillary Clinton would bring to the presidency, her appreciation of what it takes to govern and her grasp of how to do so. She is resilient, tested and calm. She knows her way around the partisan battles. The country doesn’t need a revolution. It isn’t a wreck. It requires the right brand of change."
16,The New York Times,New York,New York,1119112,9/24/2016,Hillary Clinton,Barack Obama,The New York Times/New York,40.7560866,-73.9901119,,The New York Times/New York,"In any normal election year, we’d compare the two presidential candidates side by side on the issues. But this is not a normal election year. A comparison like that would be an empty exercise in a race where one candidate — our choice, Hillary Clinton — has a record of service and a raft of pragmatic ideas, and the other, Donald Trump, discloses nothing concrete about himself or his plans while promising the moon and offering the stars on layaway. "
17,Portland Press Herald,Portland,Maine,57500,9/25/2016,Hillary Clinton,,Portland Press Herald/Portland,43.659024,-70.256626,,Portland Press Herald/Portland,"Donald Trump may be the worst major-party candidate in history. He is self-centered, reckless and mean-spirited. He is a salesman who has never sold anything other than himself, and leaves a trail of broken promises, lawsuits and bankruptcies wherever he goes. He is ignorant about government and world affairs but talks as if he knows it all.\nAnd he takes advantage of racial, ethnic and religious tensions to build support for himself. His careless rhetoric has brought nativists and racists out of the shadows and has spread distrust and division. Trump doesn’t have the character or the judgment to be the president of the United States, and in any normal year, his candidacy would be a joke."
18,Kennebec Journal,Augusta,Maine,27500,9/25/2016,Hillary Clinton,,Kennebec Journal/Augusta,44.3106241,-69.7794897,,Kennebec Journal/Augusta,"Donald Trump may be the worst major-party candidate in history. He is self-centered, reckless and mean-spirited. He is a salesman who has never sold anything other than himself, and leaves a trail of broken promises, lawsuits and bankruptcies wherever he goes. He is ignorant about government and world affairs but talks as if he knows it all.\nAnd he takes advantage of racial, ethnic and religious tensions to build support for himself. His careless rhetoric has brought nativists and racists out of the shadows and has spread distrust and division. Trump doesn’t have the character or the judgment to be the president of the United States, and in any normal year, his candidacy would be a joke."
19,The Arizona Republic,Phoenix,Arizona,496390,9/27/2016,Hillary Clinton,Mitt Romney,The Arizona Republic/Phoenix,33.4518174,-112.070865,,The Arizona Republic/Phoenix,"Since The Arizona Republic began publication in 1890, we have never endorsed a Democrat over a Republican for president. Never. This reflects a deep philosophical appreciation for conservative ideals and Republican principles.\nThis year is different."
20,The Detroit News,Detroit,Michigan,146962,9/29/2016,Gary Johnson,Mitt Romney,The Detroit News/Detroit,42.331427,-83.0457538,,The Detroit News/Detroit,"Today this newspaper does something it has never done in its 143-year history: endorse someone other than the Republican candidate in a presidential contest.
Since its founding in 1873, The Detroit News has backed a Republican every time it has made a presidential endorsement....\nWe abandon that long and estimable tradition this year for one reason: Donald J. Trump."
21,The Baltimore Sun,Baltimore,Maryland,177054,9/29/2016,Hillary Clinton,Barack Obama,The Baltimore Sun/Baltimore,39.262363,-76.609235,,The Baltimore Sun/Baltimore,"[T]his year, we have not been guarded at expressing our admiration for Ms. Clinton's experience, depth of knowledge, steadiness and leadership, nor have we hesitated to point out the utter lack of those qualities in her Republican opponent, Donald Trump."
22,USA Today,National,National,3866618,9/29/2016,Not Donald Trump,No endorsement,USA Today/National,38.93222,-77.219023,,USA Today/National,"In the 34-year history of USA TODAY, the Editorial Board has never taken sides in the presidential race. Instead, we’ve expressed opinions about the major issues and haven’t presumed to tell our readers, who have a variety of priorities and values, which choice is best for them. Because every presidential race is different, we revisit our no-endorsement policy every four years. We’ve never seen reason to alter our approach. Until now."
23,Sun-Sentinel,Fort Lauderdale,Florida,210856,9/30/2016,Hillary Clinton,Mitt Romney,Sun-Sentinel/Fort Lauderdale,26.1224386,-80.1373174,,Sun-Sentinel/Fort Lauderdale,The very bottom line? Trump is not qualified. Hillary is fully qualified to serve as president of the United States. Use your vote to swing this swing state to Hillary.
24,Chicago Tribune,Chicago,Illinois,769215,9/30/2016,Gary Johnson,Barack Obama,Chicago Tribune/Chicago,41.8826671,-87.6237626,,Chicago Tribune/Chicago,"Theirs is small-L libertarianism, built on individual freedom and convinced that, at both ends of Pennsylvania Avenue, official Washington is clumsy, expensive and demonstrably unable to solve this nation's problems. They speak of reunifying an America now balkanized into identity and economic groups — and of avoiding their opponents' bullying behavior and sanctimonious lectures."
25,The San Diego Union-Tribune,San Diego,California,334723,9/30/2016,Hillary Clinton,Mitt Romney,The San Diego Union-Tribune/San Diego,32.715738,-117.1610838,,The San Diego Union-Tribune/San Diego,"This paper has not endorsed a Democrat for president in its 148-year history. But we endorse Clinton. She’s the safe choice for the U.S. and for the world, for Democrats and Republicans alike."
26,Chicago Sun-Times,Chicago,Illinois,479998,9/30/2016,Hillary Clinton,No endorsement,Chicago Sun-Times/Chicago,41.8428532,-87.6683989,,Chicago Sun-Times/Chicago,"We endorse the real Hillary Clinton, flawed but upstanding, not the caricature created by her detractors over 30 years. Spare us the manufactured scandal of Benghazi. Spare us the baseless questions about her health. We endorse the Hillary Clinton who grew up in Park Ridge wanting to change the world, who worked for the welfare of children in Arkansas, who worked effectively across party lines as a senator from New York and who gave her all as a globetrotting secretary of state. "
27,El Paso Times,El Paso,Texas,42855,9/30/2016,Hillary Clinton,Barack Obama,El Paso Times/El Paso,31.879054,-106.421044,,El Paso Times/El Paso,"A Trump presidency would be a disaster for our country, and worse for those of us on the border. His promises to make Mexico pay for a needless wall between our nations, and his vow to unilaterally terminate vital trade agreements, would disrupt one of the United States’ most important international relationships and set the border economy back decades."
28,Asheville Citizen-Times,Asheville,North Carolina,43096,9/30/2016,Hillary Clinton,Barack Obama,Asheville Citizen-Times/Asheville,35.5950581,-82.5514869,,Asheville Citizen-Times/Asheville,"North Carolina has witnessed more than its fair share of extremist political volleying this year, to the detriment of our economy and to our citizens' best interest. Now more than ever, we need a leader who will work across the aisle to bridge those gaps – a task Clinton has taken on with great success for decades."
29,The Desert Sun,Palm Springs,California,34114,9/30/2016,Hillary Clinton,Mitt Romney,The Desert Sun/Palm Springs,33.833562,-116.503789,,The Desert Sun/Palm Springs,"While Trump’s misogyny and demonization of Hispanics and Muslims has ushered him to the threshold of the White House, a coalition built on “us vs. them” bodes ill for the nation’s future. The world will be a much more dangerous place if our next president is motivated by personal vendettas conveyed through vile, monosyllabic utterances."
30,The Sacramento Bee,Sacramento,California,264083,9/30/2016,Hillary Clinton,Barack Obama,The Sacramento Bee/Sacramento,38.5527785,-121.379682,,The Sacramento Bee/Sacramento,"We know what to expect from a Clinton presidency. She is not a charismatic, inspirational leader. But she is a hardworking, smart politician who can tackle terrorism, financial insecurity and the other very complicated problems we face today. With an even moderately cooperative Congress, she will make America a fairer place with more opportunity."
31,The Courier,Findlay,Ohio,22425,10/1/2016,No endorsement,Mitt Romney,The Courier/Findlay,41.04422,-83.6499321,,The Courier/Findlay,"Trump regularly careens far afield from what we expect from our president. He lacks simple honesty, integrity, temperament, intelligence, empathy, brotherhood, consistency, equality, manners, and courtesy, not to mention reasonable conservative policies and values."
32,Corpus Christi Caller-Times,Corpus Christi,Texas,57239,10/1/2016,Hillary Clinton,No endorsement,Corpus Christi Caller-Times/Corpus Christi,27.8005828,-97.396381,,Corpus Christi Caller-Times/Corpus Christi,The woman who memorably declared that women's rights are human rights and that it takes a village to raise a child is the candidate who has the right priorities and the perceptiveness to make this divided but great country greater.
33,The Charlotte Observer,Charlotte,North Carolina,157383,10/1/2016,Hillary Clinton,Barack Obama,The Charlotte Observer/Charlotte,35.2270869,-80.8431267,,The Charlotte Observer/Charlotte,"Both Democrats and Republicans also can find comfort in Clinton’s policy positions. She’s one of the most moderate Democratic nominees in decades, with a fondness for trade deals and a hawkishness on foreign policy that makes the far-left wing of her party uneasy."
34,The Spectrum,St. George,Utah,14545,10/1/2016,No endorsement,,The Spectrum/St. George,37.0965278,-113.5684164,,The Spectrum/St. George,"There will be voters who best identify with Donald Trump. Those people should vote their conscience.\nThere will be other voters who best identify with Hillary Clinton, the Democratic nominee. Those people should vote their conscience."
35,San Antonio Express News,San Antonio,Texas,356401,10/2/2016,Hillary Clinton,Barack Obama,San Antonio Express News/San Antonio,29.4241219,-98.4936282,,San Antonio Express News/San Antonio,"In Clinton, Democrats have offered a flawed candidate with a penchant for unforced errors and secrecy, both of which fuel distrust. But Trump’s policy prescriptions alone — much less his abundant character flaws — simply render him unqualified."
36,The News-Gazette,Champaign-Urbana,Illinois,47019,10/2/2016,No endorsement,Mitt Romney,The News-Gazette/Champaign-Urbana,40.1105875,-88.2072697,,The News-Gazette/Champaign-Urbana,"Can Republicans really take much satisfaction in a Trump presidency, when he is such a political wild card?\nCan Democrats genuinely look forward to four years of a Clinton presidency marked by the stunning dishonesty that could easily have resulted in a criminal indictment for mishandling classified information on her private email systems?"
37,The Spokesman-Review,Spokane,Washington,95939,10/2/2016,Hillary Clinton,Mitt Romney,The Spokesman-Review/Spokane,47.6587802,-117.4260466,,The Spokesman-Review/Spokane,"From puerile feuding, to “birtherism,” to bigotry, Trump’s candidacy draws out the ugly side of America. He seems incapable of accurately discussing any issue, choosing instead to pull the pin on verbal grenades, many of which blow up in his face. His claim that the election is rigged undermines the very task that thousands of candidates in local, state and national elections have undertaken in earnest."
38,Waco Tribune-Herald,Waco,Texas,36065,10/2/2016,No endorsement,Mitt Romney,Waco Tribune-Herald/Waco,31.549333,-97.1466695,,Waco Tribune-Herald/Waco,"So given that the 2016 election has steadily devolved into a shabby circus that would shame the Founders and provides comfort to our enemies and anxiety to our allies, we leave the decision to each and every voter. Step right up and pick your poison: The Dragon Lady in Ring No. 1 or the Snake Man in Ring No. 2."
39,The Bakersfield Californian,Bakersfield,California,37863,10/3/2016,No endorsement,No endorsement,The Bakersfield Californian/Bakersfield,35.3732921,-119.0187125,,The Bakersfield Californian/Bakersfield,"Donald Trump, the Republican nominee, is erratic, reckless, coarse and utterly lacking in statesmanship. He has a less-than-solid grasp of policy issues and shows little interest in changing that. His candidacy has alarmed conservative U.S. leaders and America’s global allies alike.\nHillary Clinton, the Democratic nominee, lacks candor, oozes a sense of entitlement and has demonstrated stunning carelessness in the handling of classified information.\nBoth have enough skeletons in their closets to supply the props for a horror movie."
40,Florida Today,Melbourne,Florida,80656,10/3/2016,No endorsement,Mitt Romney,Florida Today/Melbourne,28.0836269,-80.6081089,,Florida Today/Melbourne,"I sometimes wonder – truly – if our brand of democracy will survive the current polarization and anger. It has become popular to denigrate and demonize people who disagree with our own opinions. Instead of intellectually debating a newspaper opinion or columnist, we now threaten to put them out of business, to literally shut down debate so that the only voices that can be heard are those that sound exactly like our own."
41,Austin American-Statesman,Austin,Texas,191000,10/4/2016,No endorsement,No endorsement,http://viewpoints.blog.statesman.com/2016/02/15/heres-why-we-are-not-endorsing-in-the-presidential-primary/,30.245701,-97.768814,,Austin American-Statesman/Austin,
42,Tampa Bay Times,St. Petersburg,Florida,475942,10/6/2016,Hillary Clinton,Barack Obama,Tampa Bay Times/St. Petersburg,28.065116,-82.4361793,,Tampa Bay Times/St. Petersburg,"Hillary Clinton is the only candidate for president with the values, experience and knowledge to meet the challenges at home and abroad. Donald Trump is stunningly unprepared and temperamentally unfit for the presidency, and he has played upon our deepest fears and worst impulses with reckless rhetoric, wild promises and flagrant disregard for the truth. "
43,Effingham Daily News,Effingham,Illinois,12726,10/6/2016,Hillary Clinton,,Effingham Daily News/Effingham,39.1200418,-88.5433829,,Effingham Daily News/Effingham,Competence is now the only issue in a campaign that has wallowed too long in a fog of rhetoric and hyperbole.
44,Bangor Daily News,Bangor,Maine,52695,10/7/2016,Hillary Clinton,Barack Obama,Bangor Daily News/Bangor,44.8011821,-68.7778138,,Bangor Daily News/Bangor,"Clinton’s extensive record and her detailed campaign proposals paint the picture of someone who is committed to using government to make a positive difference in people’s lives, while doing so in a fiscally responsible way that allows the economy to flourish and lets as many people as possible share in the benefits."
45,Hartford Courant,Hartford,Connecticut,178515,10/7/2016,Hillary Clinton,Barack Obama,Hartford Courant/Hartford,41.7637111,-72.6850932,,Hartford Courant/Hartford,"But this is — unfortunately — no longer an election about those issues. Mr. Trump, through his threats, mocking and willingness to insult women, Hispanics, African-Americans, Muslims, the disabled, people who are overweight and others, has turned this into a referendum on what kind of America we want to be:\nThe kind where everyone is treated equally, or a nation that indulges hate, prejudice and fear?"
46,The Denver Post,Denver,Colorado,573542,10/7/2016,Hillary Clinton,Barack Obama,The Denver Post/Denver,39.7392358,-104.990251,,The Denver Post/Denver,"Democrat Hillary Clinton, the first woman ever to win a major-party nomination, is without question the most qualified candidate in the race for president and an easy call to make when considering the challenges confronting the nation."
47,The Seattle Times,Seattle,Washington,352131,10/7/2016,Hillary Clinton,Barack Obama,The Seattle Times/Seattle,47.6114776,-122.3370786,,The Seattle Times/Seattle,"Both candidates are flawed. But one of them, Republican nominee Donald Trump, poses an enormous risk to America’s prosperity, security and stability."
48,Ventura County Star,Camarillo,California,80494,10/7/2016,Hillary Clinton,Barack Obama,Ventura County Star/Camarillo,34.2163937,-119.0376023,,Ventura County Star/Camarillo,"Hillary Clinton is a leader. She understands the world. She knows how to govern. She has spent a lifetime advocating for, and helping to enact, change for women, children and impoverished individuals from Alabama to Sudan. She has demonstrated, through 45 years of commitment to improving the world, that she knows how to carry out her vision for the betterment of each of us."
49,The Cullman Times,Cullman,Alabama,11425,10/7/2016,Hillary Clinton,,The Cullman Times/Cullman,34.1748208,-86.8436124,,The Cullman Times/Cullman,"Trump shows little understanding of the complexities of domestic and international challenges. His thin skin, impulsiveness and temperament make him a high risk in tense situations. He offers no ideas on how to address increasing racial unrest in urban cities. He cavalierly promises to destroy ISIS with military power and illegal torture. He talks of abandoning NATO and terminating longstanding defense agreements with Japan and South Korea. If elected, there is a strong possibility he might isolate the United States from the world no matter the dire consequences."
50,The Daily Star,Oneonta,New York,9314,10/7/2016,Hillary Clinton,,The Daily Star/Oneonta,42.4528571,-75.0637746,,The Daily Star/Oneonta,"A president’s first and most important duty is to keep Americans safe. Clinton’s background, her intense interest in and study of foreign affairs and her experience in dealing with domestic and overseas terrorism are in marked contrast with Trump’s cavalier attitude and unwillingness to tell the public specifics about what how he would counter threats from ISIS and others who would harm our country."
51,The Post-Standard,Syracuse,New York,69412,10/7/2016,Hillary Clinton,No endorsement,The Post-Standard/Syracuse,43.0481221,-76.1474244,,The Post-Standard/Syracuse,"Of these four less-than-ideal candidates, the Syracuse Media Group editorial board endorses Clinton  for her knowledge, her experience, her empathy, her steadiness under fire and her willingness to reach across the aisle for bipartisan solutions to the complex problems we face."
52,Santa Barbara News-Press,Santa Barbara,California,44912,10/7/2016,Donald Trump,Mitt Romney,http://www.newspress.com/Top/Article/article.jsp?Section=OPINIONS-LETTERS&ID=567633525868724261,34.4208305,-119.6981901,,Santa Barbara News-Press/Santa Barbara,
53,Bluefield Daily Telegraph,Bluefield,West Virginia,20361,10/8/2016,Hillary Clinton,Mitt Romney,Bluefield Daily Telegraph/Bluefield,37.2698395,-81.2223195,,Bluefield Daily Telegraph/Bluefield,"[Clinton's] experience and public service to the nation as First Lady for eight years, U.S. Senator for eight years and Secretary of State for four years have prepared her to be president and commander in chief. Trump, while inviting to some as a chance for dramatic change, has zero public service experience. For the past 1 1/2 years of his campaign, he has raised serious questions about his values, his temperament and his bombastic promises."
54,Lockport Union-Sun & Journal,Lockport,New York,13528,10/8/2016,Hillary Clinton,,Lockport Union-Sun & Journal/Lockport,43.1706128,-78.6903098,,Lockport Union-Sun & Journal/Lockport,"In this year’s presidential race, only one candidate has any idea what it means to serve something greater than self or the proven ability to do so, and that candidate is Hillary Clinton."
55,Pharos-Tribune,Logansport,Indiana,10259,10/8/2016,Hillary Clinton,,Pharos-Tribune/Logansport,40.7544843,-86.3566659,,Pharos-Tribune/Logansport,"Throughout her service as First Lady, U.S. Senator, and Secretary of State, Democrat Hillary Clinton has spent nearly 25 years developing the skills, relationships, diplomacy, and knowledge needed to prepare her for the job. She has demonstrated she has the mental toughness, patience, composure, and bipartisan spirit to move the nation forward in matters both foreign and domestic."
56,St. Louis Post-Dispatch,St. Louis,Missouri,438058,10/8/2016,Hillary Clinton,Barack Obama,St. Louis Post-Dispatch/St. Louis,38.6398553,-90.2857775,,St. Louis Post-Dispatch/St. Louis,Clinton understands what an awesome responsibility it is to lead a nation because she has spent the bulk of her adult life participating in that very endeavor.
57,New Castle News,New Castle,Pennsylvania,11391,10/8/2016,Hillary Clinton,Barack Obama,New Castle News/New Castle,41.0036719,-80.347009,,New Castle News/New Castle,"The presidency is not an entry-level position. It demands a depth and breadth of knowledge of critical issues, the willingness to thoughtfully consider facts before acting, and the ability to forge experience into responsible action through sharply honed diplomatic skills, in both foreign and domestic interactions."
58,The Meadville Tribune,Meadville,Pennsylvania,9049,10/8/2016,Hillary Clinton,Barack Obama,The Meadville Tribune/Meadville,41.6414438,-80.1514484,,The Meadville Tribune/Meadville,"Hillary Clinton has honed these skills. Donald Trump, by contrast, does not have comparable experience or the demeanor for the job. He is easily goaded, impatient, insensitive and a demagogue. He doesn’t believe in fact-based discussion of issues. He plays on public fear and anger, shooting from the lip."
59,Herald-Banner,Greenville,Texas,8267,10/8/2016,Hillary Clinton,Barack Obama,Herald-Banner/Greenville,33.1384488,-96.1108066,,Herald-Banner/Greenville,"We’re not thrilled with all aspects of Clinton’s record, but we find her far preferable to Republican Donald Trump, who has been unmasked during the campaign as out of step with key conservative principles and unfit for high public office."
60,The Boston Globe,Boston,Massachusetts,377405,10/8/2016,Hillary Clinton,Barack Obama,The Boston Globe/Boston,42.3181536,-71.0508836,,The Boston Globe/Boston,"Only one candidate on the ballot Nov. 8 belongs anywhere near the White House, and it’s Hillary Clinton. The Globe enthusiastically endorses her candidacy, and urges voters to run, not walk, to their nearest polling place when early voting begins in Massachusetts on Oct. 24."
61,The Daily Citizen,Dalton,Georgia,11377,10/8/2016,Hillary Clinton,,The Daily Citizen/Dalton,34.7698021,-84.9702228,,The Daily Citizen/Dalton,"Cooperation between Democrats and Republicans has been missing for too many years in Washington. No one else running for president, including the candidates of the Libertarian and Green parties, has the political leadership skill or will to work cooperatively with Congress to get things done."
62,The Commercial Appeal,Memphis,Tennessee,133788,10/8/2016,Hillary Clinton,No endorsement,The Commercial Appeal/Memphis,35.1495343,-90.0489801,,The Commercial Appeal/Memphis,"We hope Memphis area voters join with those from around the U.S. and cancel the worst reality TV show in history, The Donald Trump Show. We do not gamble with this nation's safety and security."
63,The Daily Independent,Ashland,Kentucky,19220,10/8/2016,Hillary Clinton,,The Daily Independent/Ashland,38.4784144,-82.6379387,,The Daily Independent/Ashland,"The presidency is not an entry-level position. It demands a steady hand, cool head, thick skin, mental toughness, diplomatic skill, bipartisan spirit, patience, and the ability to think rigorously before acting. Hillary Clinton is that person. "
64,Clinton Herald,Clinton,Iowa,12321,10/8/2016,Hillary Clinton,,Clinton Herald/Clinton,41.839729,-90.189646,,Clinton Herald/Clinton,Donald Trump’s checkered resume as a wheeler-dealer real-estate tycoon do not qualify him to be the leader of the free world. He represents a high-risk danger to America and the values for which it stands.\nHillary Clinton’s record of public service and detailed knowledge of the complex and imposing issues the nation will confront in the next four years make her the superior choice to become the next president.
65,The Fresno Bee,Fresno,California,128769,10/8/2016,Hillary Clinton,Barack Obama,The Fresno Bee/Fresno,36.740264,-119.7957674,,The Fresno Bee/Fresno,"Think of what a Trump presidency would mean to the San Joaquin Valley. If he follows through on his tough talk about deporting undocumented immigrants, there would be no one to pick the crops of the Valley’s ag-based economy. His deportation plan would rip apart many longtime, hardworking Valley families. Trump even wants to end citizenship for U.S. born children of undocumented immigrants – citizenship that is guaranteed by the 14th Amendment."
66,Deseret News,Salt Lake City,Utah,102194,10/8/2016,Not Donald Trump,No endorsement,Deseret News/Salt Lake City,40.7607793,-111.8910474,,Deseret News/Salt Lake City,"We prefer to stand for something rather than against someone. But this is one of those rare moments where it is necessary to take a clear stand against the hucksterism, misogyny, narcissism and latent despotism that infect the Trump campaign even as we hope for a more auspicious future of liberty, prosperity and peace for the nation."
67,Enid News & Eagle,Enid,Oklahoma,19594,10/8/2016,Hillary Clinton,,Enid News & Eagle/Enid,36.3955891,-97.8783911,,Enid News & Eagle/Enid,"We have policy disagreements with Clinton, but she is competent and capable of handling the incredible responsibility of being our nation’s commander in chief and leader of the free world. She has a record of public service as a senator, secretary of state and first lady. She has the temperament and experience to be president."
68,The Olympian,Olympia,Washington,35158,10/8/2016,Hillary Clinton,Barack Obama,The Olympian/Olympia,47.046546,-122.885183,,The Olympian/Olympia,"Though Clinton has flaws, these pale next to Trump’s braggadocio, his cult of the strongman, his incessant lying and failure to take personal responsibility, and his breathtaking criticisms of minorities and women."
69,The News Virginian,Waynesboro,Virginia,5298,10/8/2016,Hillary Clinton,,The News Virginian/Waynesboro,38.0684692,-78.8894682,,The News Virginian/Waynesboro,"[O]ur opposition to Trump has nothing to do with the letter “R” after his name — or the letter “D,” “L” or “G” after his opponents’. Instead, it has everything to do with his total lack of fitness to serve as president."
70,The News & Observer,Raleigh,North Carolina,144982,10/8/2016,Hillary Clinton,Barack Obama,The News & Observer/Raleigh,35.7795897,-78.6381787,,The News & Observer/Raleigh,"Let’s stop pretending Donald Trump is a reasonable choice in this presidential election. He has disqualified himself by his broken contracts and his sealed taxes, his pouting and his tantrums, his midday statements and his midnight tweets."
71,Muskogee Phoenix,Muskogee,Oklahoma,14567,10/8/2016,Hillary Clinton,,Muskogee Phoenix/Muskogee,35.7365063,-95.3271609,,Muskogee Phoenix/Muskogee,"Hillary Clinton gets our support because she has devoted her life to public service. She has been Secretary of State for four years, U.S. Senator for eight years, and First Lady for eight years. Trump has no prior political or public service experience, having devoted his life to building his brand through real estate deals and his reality TV show, “The Apprentice.”"
72,Times-Standard,Eureka,California,21623,10/8/2016,Hillary Clinton,,Times-Standard/Eureka,40.8020712,-124.1636729,,Times-Standard/Eureka,"Two candidates have a shot at the White House. One of them is the most qualified candidate to seek the presidency in decades.\nThe other is an embarrassment — to himself; to the party that has allowed him to become its standard bearer; and to our nation, at home and abroad."
73,Niagara Gazette,Niagara Falls,New York,25225,10/9/2016,Hillary Clinton,,Niagara Gazette/Niagara Falls,43.0962143,-79.0377388,,Niagara Gazette/Niagara Falls,"Donald Trump is living proof that a level of maturity is not to be taken for granted even in would-be leaders of the free world. Trump does not know his place in the universe. Unlike the rest of us, he never stopped thinking he was the center of it. His view of the world is that of a child, narrow and myopic and self-absorbed. He is thin-skinned, temperamental, petulant and mean. He is a playground bully with no impulse control. And that’s not the worst of it."
74,Kokomo Tribune,Kokomo,Indiana,21908,10/9/2016,Hillary Clinton,,Kokomo Tribune/Kokomo,40.486427,-86.1336033,,Kokomo Tribune/Kokomo,"Here, residents value generosity, humility and servanthood. We aspire to selflessness in all we do and encourage our children to follow that example.\nRepublican Donald Trump doesn’t share those values — made shockingly clear after Friday's release of his vulgar comments in a video from 2005. Democrat Hillary Clinton does."
75,The Free Press,Mankato,Minnesota,21708,10/9/2016,Hillary Clinton,,The Free Press/Mankato,44.1635775,-93.9993996,,The Free Press/Mankato,The grandmother and mother also wins on character and temperament. She is not a flawless candidate — no one with public service experience ever is — but she knows eight words that count most when she is wrong: “I made a mistake. I take full responsibility.”
76,The Tribune-Democrat,Johnstown,Pennsylvania,30024,10/9/2016,Hillary Clinton,Mitt Romney,The Tribune-Democrat/Johnstown,40.3267407,-78.9219698,,The Tribune-Democrat/Johnstown,"The office of president will face many crucial issues in the next term – and will make decisions and take actions that will require a steady hand and clear mind, diplomacy, tact, experience and leadership.\nTrump has shown he possesses none of those qualities."
77,The Plain Dealer,Cleveland,Ohio,397891,10/9/2016,Hillary Clinton,Barack Obama,The Plain Dealer/Cleveland,41.49932,-81.6943605,,The Plain Dealer/Cleveland,"In an election marked by the absurd emergence of a candidate best known for fabricating his own celebrity, we have opted to go with the spirit of this election season and use an over-the-top vehicle – our concurrence with Northeast Ohio's own international celebrity -- for announcing our choice.\nWe say, quite simply, we agree with LeBron James' choice of Hillary Clinton."
78,Las Vegas Sun,Las Vegas,Nevada,203736,10/9/2016,Hillary Clinton,Barack Obama,Las Vegas Sun/Las Vegas,36.147233,-115.188938,,Las Vegas Sun/Las Vegas,"In Donald Trump, Republican voters have selected a man who by all measures is dangerously unqualified to occupy the most powerful and stressful office in the world. "
79,The Columbus Dispatch,Columbus,Ohio,221547,10/9/2016,Hillary Clinton,Mitt Romney,The Columbus Dispatch/Columbus,39.926375,-83.134058,,The Columbus Dispatch/Columbus,"The Dispatch traditionally has endorsed Republican presidential candidates, but Trump does not espouse or support traditional Republican values, such as fiscal prudence, limited government and free trade, not to mention civility and decency. We are disappointed that so many Republican leaders have accommodated a narcissistic, morally bankrupt candidate who is so clearly out of step with those values."
80,The Day,New London,Connecticut,46365,10/9/2016,Hillary Clinton,Barack Obama,The Day/New London,41.35516,-72.094832,,The Day/New London,"Americans must reject promises that industrial jobs can suddenly be restored by renegotiating trade deals, a tactic that instead invites economically damaging trade wars. They must reject a huckster who says he can quickly dispatch of our enemies with a secret plan. They must reject the un-American notions of rounding up millions of people for mass deportation or banning, because of irrational fears, members of a specific religious group from entering our country.  They must reject a candidate who ignores the scientific evidence of man-made climate change and who would roll back hard-won reproductive rights for women."
81,The Hawk Eye,Burlington,Iowa,15399,10/9/2016,Hillary Clinton,Barack Obama,The Hawk Eye/Burlington,40.8113667,-91.1098193,,The Hawk Eye/Burlington,Hillary Clinton should be — and we believe will be — the next president of the United States. It will be as historic an election — the first woman to be elected president — as it was in 2008 when Barack Obama became the first black American to win the presidency.
82,The Northwest Arkansas Democrat Gazette,Fayetteville,Arkansas,17807,10/9/2016,No endorsement,,The Northwest Arkansas Democrat Gazette/Fayetteville,36.0625795,-94.1574263,,The Northwest Arkansas Democrat Gazette/Fayetteville,"Maybe it'd be easier to list the things she hasn't promised to spend more money on. After all, she's had to promise so much to so many in order to keep up with her primary opponent that it's easy to find speeches in which she's promised the moon."
83,Arkansas Democrat-Gazette,Little Rock,Arkansas,179134,10/9/2016,No endorsement,Mitt Romney,http://www.arkansasonline.com/news/2016/oct/09/not-for-the-donald-20161009/?f=opinion,34.743668,-92.270122,,Arkansas Democrat-Gazette/Little Rock,
84,McAlester News-Capital,McAlester,Oklahoma,9000,10/9/2016,Hillary Clinton,,McAlester News-Capital/McAlester,34.9334298,-95.7697131,,McAlester News-Capital/McAlester,"As America struggles with political and racial division, the president of this country needs to have a calm, reasoned approach and be a unifier — not a divider. Trump’s comments and positions on immigration are inflammatory and insulting to a huge swath of Americans. His derogatory comments about women are beyond troublesome. The list of his startling and frightful statements — and policy positions — overwhelmingly show he is not qualified for the office."
85,Commercial-News,Danville,Illinois,19885,10/9/2016,Hillary Clinton,,Commercial-News/Danville,40.124481,-87.6300207,,Commercial-News/Danville,"Policy proposals, experience and temperament should be the basis for evaluating presidential candidates, not campaign commercials or social media. With those criteria in mind, we endorse Hillary Clinton to be the next president of the United States."
86,The Sun News,Myrtle Beach,South Carolina,40944,10/9/2016,Hillary Clinton,Barack Obama,The Sun News/Myrtle Beach,33.6890603,-78.8866943,,The Sun News/Myrtle Beach,"Truth. Transparency. Humility. Temperament. In all these character traits, Trump is far more lacking than Clinton."
87,The Daily News of Newburyport,Newburyport,Massachusetts,13605,10/9/2016,Hillary Clinton,,The Daily News of Newburyport/Newburyport,42.8125913,-70.8772751,,The Daily News of Newburyport/Newburyport,"Hillary Clinton has served as first lady, U.S. senator and secretary of state. Donald Trump is a lifetime wheeler-dealer who has never served anyone but himself. Now he has become a demagogue, playing on fear and anger, with no clear plan to “make America great again.”"
